383,Allonzo Trier\trieral01,SG,23,NYK,9,0,194,34,64,.531,6,14,.429,28,50,.560,.578,23,26,.885,6,18,24,11,2,3,15,8,97
384,P.J. Tucker\tuckepj01,PF,33,HOU,7,7,253,20,47,.426,14,33,.424,6,14,.429,.574,5,8,.625,13,29,42,11,14,6,5,20,59
385,Evan Turner\turneev01,PG,30,POR,8,0,198,34,67,.507,1,7,.143,33,60,.550,.515,10,13,.769,3,37,40,36,9,3,17,20,79
386,Myles Turner\turnemy01,C,22,IND,9,9,244,47,90,.522,2,13,.154,45,77,.584,.533,14,19,.737,15,31,46,15,3,23,13,26,110
387,Ekpe Udoh\udohek01,C,31,UTA,5,0,30,0,0,,0,0,,0,0,,,4,6,.667,1,5,6,3,0,2,2,5,4
388,Tyler Ulis\ulisty01,PG,23,CHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
389,Jonas Valanciunas\valanjo01,C,26,TOR,9,4,170,48,88,.545,4,12,.333,44,76,.579,.568,25,29,.862,21,44,65,11,5,9,10,30,125
390,Fred VanVleet\vanvlfr01,PG,24,TOR,5,0,119,21,50,.420,6,20,.300,15,30,.500,.480,6,11,.545,2,13,15,27,3,1,7,11,54
391,Noah Vonleh\vonleno01,PF,23,NYK,9,4,180,24,43,.558,2,7,.286,22,36,.611,.581,21,29,.724,21,50,71,17,6,8,10,23,71
392,Nikola Vucevic\vucevni01,C,28,ORL,8,8,233,63,114,.553,8,14,.571,55,100,.550,.588,18,22,.818,25,62,87,33,10,10,18,17,152
393,Dwyane Wade\wadedw01,SG,37,MIA,7,0,176,34,81,.420,13,29,.448,21,52,.404,.500,11,15,.733,11,20,31,21,3,3,17,16,92
394,Kemba Walker\walkeke02,PG,28,CHO,9,9,302,88,191,.461,38,95,.400,50,96,.521,.560,48,56,.857,4,34,38,54,7,3,17,15,262
395,John Wall\walljo01,PG,28,WAS,8,8,271,60,131,.458,9,37,.243,51,94,.543,.492,36,51,.706,6,19,25,59,17,9,34,23,165
396,Tyrone Wallace\wallaty01,PG,24,LAC,6,0,20,4,8,.500,0,0,,4,8,.500,.500,2,3,.667,0,2,2,1,0,0,1,2,10
397,Taurean Waller-Prince\princta02,SF,24,ATL,8,8,230,42,110,.382,18,54,.333,24,56,.429,.464,22,23,.957,2,40,42,26,11,2,31,29,124
398,Brad Wanamaker\wanambr01,PG,29,BOS,2,0,6,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,0,1,1,0,0,0,1,0,6
399,T.J. Warren\warretj01,SF,25,PHO,8,2,197,47,95,.495,12,26,.462,35,69,.507,.558,16,19,.842,8,21,29,12,4,5,12,17,122
400,Yuta Watanabe\watanyu01,SG,24,MEM,1,0,5,0,0,,0,0,,0,0,,,2,2,1.000,0,2,2,0,0,0,1,0,2
401,Thomas Welsh\welshth01,C,22,DEN,3,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,2,0,0,0,1,0
402,Russell Westbrook\westbru01,PG,30,OKC,6,6,195,61,121,.504,2,18,.111,59,103,.573,.512,28,44,.636,7,44,51,53,14,1,23,18,152
403,Hassan Whiteside\whiteha01,C,29,MIA,7,7,207,35,71,.493,0,3,.000,35,68,.515,.493,21,38,.553,26,83,109,0,3,21,15,21,91
404,Andrew Wiggins\wiggian01,SF,23,MIN,6,6,184,39,91,.429,12,30,.400,27,61,.443,.495,14,17,.824,3,19,22,9,9,2,9,16,104
405,C.J. Williams\willicj01,SG,28,MIN,3,0,19,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,0,0,0,0,0,2,4,2
406,Johnathan Williams\willijo04,C,23,LAL,6,0,85,11,19,.579,0,0,,11,19,.579,.579,1,5,.200,11,10,21,4,1,3,2,19,23
407,Kenrich Williams\willike04,SF,24,NOP,3,0,18,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,3,3,0,0,0,0,3,5
408,Lou Williams\willilo02,SG,32,LAC,9,0,214,53,118,.449,17,39,.436,36,79,.456,.521,48,52,.923,3,17,20,26,6,1,24,9,171
409,Marvin Williams\willima02,PF,32,CHO,9,9,207,23,64,.359,7,35,.200,16,29,.552,.414,5,8,.625,8,34,42,9,4,13,5,14,58
410,Robert Williams\williro04,C,21,BOS,4,0,12,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,2,0,2,1,0,3,0,1,2
411,Troy Williams\willitr02,SF,24,SAC,2,0,46,6,10,.600,3,6,.500,3,4,.750,.750,0,0,,0,6,6,1,1,2,0,6,15
412,Justise Winslow\winslju01,PF,22,MIA,3,0,73,8,24,.333,1,5,.200,7,19,.368,.354,7,11,.636,4,9,13,8,5,2,3,7,24
