Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,28,325,-0.738123047,Grayson Allen,,UTA,G,5,8.216666667,4.4,0.4,0.4,0.4,0,0,0.5,2.4,1,1.6,0.4,-1.860755886,-0.994763089,-1.89222947,-1.254428949,-1.844732747,-1.146326102,0.07729807,0.830817286,1.442013467
,12,138,-0.267116123,Mike Muscala,,PHI,F,5,17.42,8.2,1.4,4.4,0.8,0,0.8,0.541666667,4.8,1,1.6,0.8,-1.217382008,-0.066599602,-0.538328905,-1.067845278,-1.844732747,0.065293448,0.395723779,0.830817286,1.039008918
,5,52,0.01340851,Jamal Murray,,DEN,G,7,32.86904762,16,1.428571429,4.857142857,3.285714286,1.428571429,0.571428571,0.408163265,14,0.88,3.571428571,1.571428571,0.103227532,-0.040080645,-0.383597411,0.091638962,0.885719676,-0.280883567,-1.345449683,0.828315869,0.261785859
,1,3,0.857647291,Jimmy Butler,Probable - sitting out,MIN,G,6,33.71666667,22.5,2,5.333333333,3.333333333,3,1.166666667,0.505494505,15.16666667,0.837837838,6.166666667,1.5,1.203735482,0.49029849,-0.222418773,0.113851304,3.889217341,0.620619075,0.481748298,0.808023443,0.333750957
,14,163,-0.342016125,Cameron Payne,,CHI,G,8,23.02083333,10.125,1.375,2.125,3.375,0.625,0.25,0.446153846,8.125,1,1.5,1.75,-0.891462346,-0.089803689,-1.308359851,0.133287103,-0.650159812,-0.767694993,-0.36577032,0.779945673,0.081873113
,29,345,-0.789928684,Jahlil Okafor,,NOR,C,4,10.3125,6,0,3,0.25,0,0,0.45,5,1,1.5,1.25,-1.589861621,-1.366028484,-1.012194103,-1.324397826,-1.844732747,-1.146326102,-0.191391747,0.779945673,0.5856288
,19,227,-0.516505637,James Nunnally,,MIN,G,2,12.64166667,5.5,1,1.5,1.5,0,0,0.5,3,1,1.5,0,-1.674516079,-0.437864997,-1.519906815,-0.741323854,-1.844732747,-1.146326102,0.091156176,0.779945673,1.845018016
,14,160,-0.327256092,Trevor Ariza,,PHO,F,7,32.51904762,10.14285714,1.857142857,4.857142857,3.571428571,0.714285714,0.142857143,0.338461538,9.285714286,0.933333333,2.142857143,1.714285714,-0.888438972,0.357703706,-0.383597411,0.224913012,-0.479506535,-0.929965468,-1.73611332,0.771844494,0.117855662
,4,47,0.03330815,Josh Richardson,,MIA,F,7,34.17619048,19.14285714,2.714285714,4.428571429,2.714285714,1,1,0.405172414,16.57142857,0.875,3.428571429,2.142857143,0.635341266,1.153272409,-0.528658186,-0.174909139,0.066583949,0.368198335,-1.661762497,0.755642137,-0.313934926
,19,226,-0.513914686,Yogi Ferrell,,SAC,G,7,17.52380952,7,0.714285714,1.571428571,0.714285714,0.571428571,0.142857143,0.447368421,5.428571429,1,1.428571429,0.571428571,-1.420552706,-0.703054565,-1.495730019,-1.107827493,-0.752551778,-0.929965468,-0.228456187,0.743608807,1.269297232
